"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","double-stranded RNA-specific ribonuclease activity","GO:0032296","0.2382321335050457","0.6229996598863702","4","616","3","9453","TC001108,TC001750,TC015512"
"GO:MF","acyltransferase activity, acyl groups converted into alkyl on transfer","GO:0046912","0.2382321335050457","0.6229996598863702","4","616","3","9453","TC009172,TC013214,TC015096"
"GO:MF","ribonuclease III activity","GO:0004525","0.2382321335050457","0.6229996598863702","4","616","3","9453","TC001108,TC001750,TC015512"
"GO:MF","purine nucleotide binding","GO:0017076","0.24811660470243616","0.6053441704745284","1078","616","95","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004583,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005644,TC006170,TC006296,TC006313,TC006471,TC006474,TC006627,TC007481,TC007848,TC008339,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","anion binding","GO:0043168","0.25084177058718665","0.6006001423826908","1200","616","104","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005445,TC005644,TC006296,TC006313,TC006471,TC006474,TC006627,TC007481,TC007608,TC007656,TC007848,TC007906,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010420,TC010434,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014209,TC014210,TC014226,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:MF","enzyme regulator activity","GO:0030234","0.25500386008504805","0.5934532454446811","336","616","37","9453","TC000760,TC001109,TC001192,TC001759,TC002403,TC002423,TC002622,TC003070,TC003222,TC003823,TC004583,TC004675,TC004696,TC005815,TC007148,TC007618,TC007868,TC008716,TC008818,TC009259,TC009262,TC009550,TC009818,TC009844,TC011508,TC011637,TC012347,TC013292,TC013589,TC014286,TC014600,TC014664,TC015124,TC015650,TC015747,TC015986,TC030076"
"GO:MF","ATP binding","GO:0005524","0.26902427123128136","0.5702085364053815","828","616","76","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001108,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC005004,TC005644,TC006296,TC006471,TC006474,TC007481,TC007848,TC008339,TC008354,TC008372,TC008415,TC008860,TC009314,TC009437,TC010011,TC010434,TC010772,TC010805,TC010814,TC010831,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","0.28642863710111804","0.5429835634827194","843","616","77","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001108,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC005004,TC005644,TC006296,TC006471,TC006474,TC007481,TC007848,TC008339,TC008354,TC008372,TC008415,TC008860,TC009259,TC009314,TC009437,TC010011,TC010434,TC010772,TC010805,TC010814,TC010831,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","ribonucleotide binding","GO:0032553","0.3039782657674571","0.517157467031696","1031","616","91","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004583,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005644,TC006296,TC006313,TC006471,TC006474,TC006627,TC007481,TC007848,TC008339,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010420,TC010434,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","adenyl nucleotide binding","GO:0030554","0.3281031197324724","0.4839896401529453","900","616","81","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001108,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC005004,TC005233,TC005644,TC006170,TC006296,TC006471,TC006474,TC007481,TC007848,TC008339,TC008354,TC008372,TC008415,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010434,TC010448,TC010772,TC010805,TC010814,TC010831,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","catalytic activity, acting on RNA","GO:0140098","0.5582385289831411","0.25318019230579947","256","616","29","9453","TC000481,TC001089,TC001108,TC001704,TC001750,TC002672,TC002912,TC003119,TC005516,TC006301,TC007970,TC008350,TC008372,TC009437,TC010418,TC010518,TC010772,TC011106,TC011516,TC011523,TC011527,TC013413,TC013762,TC013782,TC013885,TC014047,TC015082,TC015512,TC015834"
"GO:MF","ion binding","GO:0043167","0.7112940831772939","0.14795080391868148","2752","616","210","9453","TC000070,TC000085,TC000188,TC000222,TC000382,TC000463,TC000476,TC000481,TC000502,TC000537,TC000590,TC000992,TC001073,TC001087,TC001089,TC001103,TC001108,TC001192,TC001259,TC001601,TC001612,TC001697,TC001713,TC001744,TC001750,TC001753,TC001754,TC001755,TC001761,TC002403,TC002463,TC002505,TC002522,TC002540,TC002545,TC002546,TC002825,TC002912,TC002963,TC002973,TC003119,TC003366,TC003401,TC003417,TC003574,TC003588,TC003594,TC003645,TC004125,TC004134,TC004145,TC004380,TC004579,TC004583,TC004619,TC004661,TC004664,TC004672,TC004674,TC004703,TC004711,TC004721,TC004724,TC004776,TC004792,TC004800,TC004855,TC004865,TC004873,TC004939,TC005004,TC005233,TC005445,TC005638,TC005644,TC005820,TC005841,TC006296,TC006313,TC006471,TC006474,TC006604,TC006627,TC007113,TC007136,TC007146,TC007168,TC007176,TC007304,TC007434,TC007481,TC007511,TC007512,TC007608,TC007656,TC007847,TC007848,TC007906,TC008058,TC008118,TC008339,TC008348,TC008354,TC008372,TC008388,TC008402,TC008406,TC008415,TC008784,TC008860,TC009259,TC009265,TC009267,TC009314,TC009437,TC009542,TC009548,TC010011,TC010109,TC010168,TC010331,TC010336,TC010405,TC010418,TC010420,TC010433,TC010434,TC010657,TC010772,TC010805,TC010807,TC010814,TC010829,TC010831,TC010839,TC010866,TC010872,TC010896,TC011106,TC011145,TC011200,TC011442,TC011443,TC011516,TC011523,TC011526,TC011541,TC011637,TC012055,TC012131,TC012133,TC012367,TC012384,TC012417,TC012672,TC013047,TC013075,TC013301,TC013312,TC013433,TC013546,TC013565,TC013570,TC013602,TC013635,TC013689,TC013742,TC013758,TC013782,TC014005,TC014014,TC014023,TC014040,TC014047,TC014181,TC014203,TC014209,TC014210,TC014217,TC014226,TC014309,TC014516,TC014642,TC014899,TC014905,TC014984,TC015081,TC015082,TC015096,TC015184,TC015322,TC015347,TC015365,TC015374,TC015386,TC015532,TC015591,TC015613,TC015622,TC015628,TC015719,TC015755,TC015907,TC016231,TC030598,TC030652,TC030725,TC030744,TC030760,TC030779"
"GO:MF","RNA binding","GO:0003723","0.776964633761362","0.10959874916800227","572","616","54","9453","TC000027,TC000477,TC000481,TC001089,TC001103,TC001108,TC001704,TC001750,TC003247,TC003474,TC003588,TC003731,TC003774,TC004131,TC004600,TC004615,TC004865,TC005415,TC005665,TC006313,TC008014,TC008111,TC008131,TC008350,TC008410,TC008716,TC009171,TC009262,TC009268,TC009437,TC009539,TC009555,TC010322,TC010334,TC010637,TC010772,TC011106,TC011241,TC011317,TC011527,TC011978,TC012019,TC013413,TC013629,TC013762,TC013885,TC014047,TC014271,TC014516,TC015512,TC015626,TC015826,TC015985,TC030605"
"GO:MF","translation elongation factor activity","GO:0003746","0.8804016282311038","0.05531916292567539","32","616","7","9453","TC002622,TC003247,TC003474,TC007229,TC008784,TC010866,TC015626"
"GO:MF","carbohydrate derivative binding","GO:0097367","0.9134036184769986","0.03933727225443901","1152","616","97","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004478,TC004583,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005524,TC005525,TC005644,TC006296,TC006301,TC006313,TC006471,TC006474,TC006627,TC007081,TC007481,TC007848,TC008339,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010420,TC010434,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012133,TC012367,TC013301,TC013546,TC013565,TC013635,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","deoxyribonuclease I activity","GO:0004530","0.9636288206539693","0.016090219400339154","2","616","2","9453","TC001108,TC001750"
"GO:MF","alpha-1,2-mannosyltransferase activity","GO:0000026","1","0","4","616","1","9453","TC000759"
"GO:MF","polysaccharide binding","GO:0030247","1","0","6","616","1","9453","TC003540"
"GO:MF","clathrin binding","GO:0030276","1","0","17","616","2","9453","TC007906,TC015014"
"GO:MF","protein serine/threonine kinase inhibitor activity","GO:0030291","1","0","4","616","1","9453","TC009262"
"GO:MF","DNA polymerase processivity factor activity","GO:0030337","1","0","2","616","1","9453","TC002622"
"GO:MF","peptidase inhibitor activity","GO:0030414","1","0","53","616","6","9453","TC000760,TC003823,TC009844,TC011508,TC014664,TC030076"
"GO:MF","snoRNA binding","GO:0030515","1","0","16","616","2","9453","TC006313,TC012019"
"GO:MF","structural constituent of chromatin","GO:0030527","1","0","21","616","1","9453","TC015124"
"GO:MF","Hsp70 protein binding","GO:0030544","1","0","10","616","1","9453","TC000590"
"GO:MF","signaling receptor regulator activity","GO:0030545","1","0","78","616","3","9453","TC008417,TC013579,TC014179"
"GO:MF","signaling receptor activator activity","GO:0030546","1","0","76","616","3","9453","TC008417,TC013579,TC014179"
"GO:MF","cyclic nucleotide binding","GO:0030551","1","0","12","616","1","9453","TC009259"
"GO:MF","cAMP binding","GO:0030552","1","0","4","616","1","9453","TC009259"
"GO:MF","neurotransmitter receptor activity","GO:0030594","1","0","71","616","2","9453","TC006171,TC009170"
"GO:MF","U2 snRNA binding","GO:0030620","1","0","5","616","1","9453","TC010322"
"GO:MF","protein-macromolecule adaptor activity","GO:0030674","1","0","196","616","14","9453","TC002976,TC004658,TC006314,TC006604,TC006673,TC007640,TC008332,TC011045,TC012388,TC013571,TC013758,TC014894,TC015634,TC030748"
"GO:MF","GTPase regulator activity","GO:0030695","1","0","163","616","19","9453","TC001109,TC001759,TC002423,TC003070,TC003222,TC004583,TC004696,TC005815,TC007148,TC007618,TC007868,TC009818,TC011637,TC013589,TC014600,TC015124,TC015650,TC015747,TC015986"
"GO:MF","potassium ion binding","GO:0030955","1","0","4","616","1","9453","TC004380"
"GO:MF","receptor tyrosine kinase binding","GO:0030971","1","0","6","616","1","9453","TC010804"
"GO:MF","heat shock protein binding","GO:0031072","1","0","31","616","2","9453","TC000188,TC000590"
"GO:MF","histone H3K14 deacetylase activity","GO:0031078","1","0","5","616","2","9453","TC002540,TC014236"
"GO:MF","phosphopantetheine binding","GO:0031177","1","0","2","616","1","9453","TC011522"
"GO:MF","phosphatidylcholine binding","GO:0031210","1","0","6","616","1","9453","TC013312"
"GO:MF","small GTPase binding","GO:0031267","1","0","47","616","4","9453","TC003212,TC011637,TC013604,TC015935"
"GO:MF","carbohydrate binding","GO:0030246","1","0","70","616","7","9453","TC000223,TC003540,TC004676,TC004953,TC005412,TC005702,TC010763"
"GO:MF","lipoic acid binding","GO:0031405","1","0","1","616","1","9453","TC014209"
"GO:MF","semaphorin receptor binding","GO:0030215","1","0","4","616","1","9453","TC014179"
"GO:MF","signaling receptor complex adaptor activity","GO:0030159","1","0","9","616","1","9453","TC006314"
"GO:MF","kinesin binding","GO:0019894","1","0","6","616","1","9453","TC015622"
"GO:MF","enzyme binding","GO:0019899","1","0","208","616","13","9453","TC000502,TC001697,TC003212,TC003540,TC006314,TC007850,TC008332,TC010804,TC011637,TC012388,TC013565,TC013604,TC015935"
"GO:MF","kinase binding","GO:0019900","1","0","41","616","3","9453","TC006314,TC010804,TC013565"
"GO:MF","protein kinase binding","GO:0019901","1","0","38","616","3","9453","TC006314,TC010804,TC013565"
"GO:MF","phosphatase binding","GO:0019902","1","0","13","616","3","9453","TC003540,TC007850,TC012388"
"GO:MF","protein phosphatase binding","GO:0019903","1","0","11","616","3","9453","TC003540,TC007850,TC012388"
"GO:MF","protein domain specific binding","GO:0019904","1","0","22","616","3","9453","TC002864,TC006299,TC016197"
"GO:MF","syntaxin binding","GO:0019905","1","0","20","616","3","9453","TC013571,TC014163,TC015986"
"GO:MF","heme binding","GO:0020037","1","0","168","616","6","9453","TC004579,TC004661,TC005841,TC008058,TC010331,TC013433"
"GO:MF","passive transmembrane transporter activity","GO:0022803","1","0","266","616","12","9453","TC004130,TC004591,TC005628,TC006171,TC007305,TC008354,TC008787,TC009170,TC010758,TC011257,TC013931,TC015322"
"GO:MF","active transmembrane transporter activity","GO:0022804","1","0","240","616","14","9453","TC001752,TC002817,TC004599,TC004680,TC004855,TC005842,TC008354,TC010434,TC010758,TC011526,TC012133,TC013747,TC014895,TC015322"
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","1","0","49","616","2","9453","TC006171,TC009170"
"GO:MF","voltage-gated channel activity","GO:0022832","1","0","62","616","2","9453","TC004130,TC004591"
"GO:MF","ligand-gated channel activity","GO:0022834","1","0","102","616","2","9453","TC006171,TC009170"
"GO:MF","transmitter-gated channel activity","GO:0022835","1","0","49","616","2","9453","TC006171,TC009170"
"GO:MF","gated channel activity","GO:0022836","1","0","155","616","4","9453","TC004130,TC004591,TC006171,TC009170"
"GO:MF","voltage-gated monoatomic cation channel activity","GO:0022843","1","0","49","616","2","9453","TC004130,TC004591"
"GO:MF","acetylcholine-gated monoatomic cation-selective channel activity","GO:0022848","1","0","12","616","1","9453","TC009170"
"GO:MF","active monoatomic ion transmembrane transporter activity","GO:0022853","1","0","98","616","10","9453","TC001752,TC004599,TC004680,TC005842,TC008354,TC010758,TC011526,TC012133,TC014895,TC015322"
"GO:MF","transmembrane transporter activity","GO:0022857","1","0","811","616","41","9453","TC001323,TC001752,TC001773,TC002616,TC002817,TC004130,TC004493,TC004591,TC004599,TC004639,TC004680,TC004690,TC004711,TC004855,TC005358,TC005628,TC005842,TC005981,TC006171,TC007305,TC008354,TC008422,TC008783,TC008787,TC009170,TC010434,TC010758,TC010764,TC011135,TC011257,TC011526,TC012133,TC012830,TC013255,TC013747,TC013931,TC014877,TC014895,TC015033,TC015322,TC015635"
